age,job,marital,education,campaign,month,day_of_week,poutcome,y
44,blue-collar,married,basic.4y,email,aug,thu,nonexistent,0
53,technician,married,unknown,email,nov,fri,nonexistent,0
28,management,single,university.degree,email,jun,thu,success,1
39,services,married,high.school,email,apr,fri,nonexistent,0
55,retired,married,basic.4y,email,aug,fri,success,1
30,management,divorced,basic.4y,email,jul,tue,nonexistent,0
37,blue-collar,married,basic.4y,email,may,thu,nonexistent,0
39,blue-collar,divorced,basic.9y,email,may,fri,nonexistent,0
36,admin.,married,university.degree,email,jun,mon,success,1
27,blue-collar,single,basic.4y,email,apr,thu,failure,0
34,housemaid,single,university.degree,adwords,may,fri,nonexistent,0
41,management,married,university.degree,email,aug,thu,nonexistent,0
55,management,married,university.degree,email,aug,mon,nonexistent,1
33,services,divorced,high.school,email,may,tue,nonexistent,0
26,admin.,married,high.school,adwords,jun,mon,nonexistent,0
52,services,married,high.school,email,jul,thu,nonexistent,0
35,services,married,high.school,email,apr,thu,nonexistent,1
27,admin.,single,university.degree,adwords,oct,tue,nonexistent,1
28,blue-collar,married,basic.9y,adwords,may,thu,nonexistent,0
26,unemployed,single,basic.9y,email,jul,mon,nonexistent,0
41,unemployed,married,basic.9y,adwords,apr,fri,failure,0
35,blue-collar,single,unknown,adwords,jun,fri,nonexistent,0
40,admin.,married,university.degree,adwords,jul,wed,nonexistent,0
32,technician,single,professional.course,email,jul,thu,nonexistent,0
41,blue-collar,married,high.school,email,jul,thu,nonexistent,0
34,entrepreneur,single,university.degree,email,may,tue,nonexistent,0
49,technician,divorced,unknown,email,oct,thu,nonexistent,0
37,admin.,married,high.school,email,apr,thu,success,0
35,blue-collar,married,basic.6y,email,may,fri,nonexistent,0
38,blue-collar,single,basic.4y,adwords,jul,tue,nonexistent,0
47,services,divorced,high.school,adwords,jun,tue,nonexistent,0
46,admin.,married,university.degree,email,may,thu,nonexistent,0
27,technician,married,professional.course,email,may,mon,nonexistent,0
29,technician,married,high.school,email,jun,fri,nonexistent,1
32,services,divorced,basic.9y,email,jul,wed,nonexistent,0
36,blue-collar,married,basic.6y,email,may,wed,failure,0
29,blue-collar,married,basic.4y,email,jul,mon,nonexistent,0
47,technician,married,high.school,email,apr,mon,failure,0
44,blue-collar,married,basic.4y,adwords,jun,mon,nonexistent,0
54,management,married,university.degree,email,aug,thu,nonexistent,0
36,blue-collar,married,basic.9y,adwords,may,thu,nonexistent,0
42,blue-collar,married,basic.4y,adwords,may,wed,nonexistent,0
44,blue-collar,married,basic.4y,email,jul,tue,nonexistent,0
72,retired,divorced,basic.6y,email,nov,wed,nonexistent,1
48,blue-collar,married,basic.9y,email,aug,tue,nonexistent,0
36,management,married,high.school,email,nov,thu,nonexistent,0
35,housemaid,married,basic.4y,email,aug,mon,nonexistent,0
43,entrepreneur,married,basic.6y,email,may,mon,failure,0
56,retired,married,basic.4y,email,aug,wed,nonexistent,0
42,blue-collar,married,basic.9y,adwords,jun,fri,nonexistent,0
31,admin.,single,university.degree,email,may,mon,nonexistent,0
32,technician,married,basic.9y,adwords,jun,thu,nonexistent,0
33,blue-collar,married,high.school,email,may,mon,failure,0
31,blue-collar,married,basic.6y,adwords,jun,wed,nonexistent,0
39,management,married,university.degree,adwords,may,wed,nonexistent,0
30,blue-collar,married,high.school,adwords,may,mon,nonexistent,0
24,management,single,university.degree,email,may,thu,failure,0
24,admin.,married,high.school,adwords,may,mon,nonexistent,0
38,blue-collar,married,professional.course,adwords,may,wed,nonexistent,0
26,blue-collar,married,high.school,adwords,jun,wed,nonexistent,0
41,technician,married,professional.course,adwords,may,tue,nonexistent,0
34,admin.,married,high.school,email,apr,fri,nonexistent,0
30,management,married,university.degree,email,mar,mon,nonexistent,1
37,admin.,married,university.degree,email,nov,fri,nonexistent,0
68,retired,married,basic.4y,email,jul,wed,nonexistent,0
31,admin.,single,high.school,email,jul,fri,nonexistent,0
48,technician,divorced,university.degree,email,apr,thu,nonexistent,0
33,technician,married,professional.course,adwords,may,mon,nonexistent,0
59,self-employed,single,university.degree,adwords,may,fri,nonexistent,0
44,blue-collar,married,unknown,adwords,may,tue,nonexistent,0
28,unknown,single,unknown,adwords,jun,thu,nonexistent,0
50,management,married,university.degree,email,aug,tue,success,0
33,entrepreneur,married,university.degree,email,nov,thu,nonexistent,0
45,services,married,professional.course,adwords,may,mon,nonexistent,0
40,management,married,university.degree,email,jul,mon,nonexistent,0
45,services,married,professional.course,adwords,aug,thu,nonexistent,0
43,technician,divorced,university.degree,adwords,may,mon,nonexistent,0
54,blue-collar,married,professional.course,adwords,may,mon,nonexistent,0
53,technician,divorced,professional.course,adwords,may,tue,nonexistent,0
35,self-employed,single,university.degree,email,jul,thu,nonexistent,0
30,technician,single,professional.course,email,aug,fri,nonexistent,0
25,technician,married,professional.course,adwords,jun,wed,nonexistent,0
35,services,divorced,professional.course,email,aug,thu,nonexistent,0
54,admin.,married,university.degree,email,mar,mon,nonexistent,1
30,blue-collar,married,basic.6y,email,jul,mon,nonexistent,0
38,admin.,married,university.degree,email,aug,tue,nonexistent,0
35,admin.,married,university.degree,email,oct,thu,failure,0
47,blue-collar,married,professional.course,adwords,may,wed,nonexistent,0
32,blue-collar,single,high.school,email,jul,tue,nonexistent,0
27,blue-collar,married,basic.9y,adwords,may,tue,nonexistent,0
40,blue-collar,married,basic.9y,adwords,nov,thu,nonexistent,1
31,admin.,married,high.school,adwords,may,mon,nonexistent,0
42,blue-collar,divorced,basic.9y,email,apr,mon,nonexistent,0
40,blue-collar,married,basic.6y,email,may,thu,nonexistent,0
31,admin.,single,high.school,email,nov,wed,nonexistent,0
57,technician,married,basic.4y,adwords,jun,thu,nonexistent,0
38,admin.,single,high.school,email,apr,thu,success,1
39,services,married,high.school,adwords,may,mon,nonexistent,0
37,admin.,divorced,high.school,adwords,may,wed,nonexistent,0
50,unemployed,married,professional.course,email,jul,thu,nonexistent,0
33,blue-collar,single,basic.4y,email,apr,thu,nonexistent,1
41,blue-collar,married,basic.6y,adwords,jun,tue,nonexistent,0
37,entrepreneur,married,basic.6y,adwords,may,fri,nonexistent,0
25,student,single,high.school,email,apr,wed,nonexistent,0
35,admin.,married,high.school,email,jul,fri,nonexistent,0
46,management,married,university.degree,email,jul,mon,nonexistent,1
29,admin.,divorced,university.degree,adwords,jun,mon,nonexistent,0
35,admin.,married,university.degree,email,aug,thu,nonexistent,0
48,entrepreneur,single,professional.course,email,may,wed,nonexistent,0
31,self-employed,single,university.degree,email,oct,fri,nonexistent,0
33,blue-collar,divorced,basic.9y,adwords,may,thu,failure,0
63,retired,divorced,university.degree,email,jul,thu,failure,0
38,admin.,married,high.school,email,nov,tue,nonexistent,0
34,admin.,divorced,high.school,email,nov,tue,success,0
34,services,divorced,high.school,adwords,jul,thu,nonexistent,0
47,management,married,university.degree,adwords,may,wed,success,0
27,blue-collar,single,basic.9y,adwords,may,wed,nonexistent,0
24,admin.,single,university.degree,email,aug,fri,failure,1
36,blue-collar,married,basic.9y,email,may,wed,nonexistent,0
29,services,single,high.school,adwords,jun,mon,nonexistent,0
58,retired,married,basic.9y,adwords,jun,mon,nonexistent,0
40,technician,married,professional.course,email,aug,tue,nonexistent,0
31,admin.,single,university.degree,email,aug,thu,nonexistent,0
60,retired,married,basic.4y,email,aug,tue,nonexistent,0
58,housemaid,married,basic.4y,adwords,jul,tue,nonexistent,0
32,blue-collar,single,basic.9y,email,jul,tue,nonexistent,0
54,admin.,divorced,university.degree,adwords,jun,tue,nonexistent,0
43,technician,married,professional.course,email,aug,mon,nonexistent,0
48,retired,married,basic.4y,adwords,jun,wed,nonexistent,0
33,admin.,married,university.degree,email,nov,thu,nonexistent,0
37,blue-collar,married,basic.9y,adwords,jul,mon,nonexistent,0
35,services,divorced,professional.course,adwords,may,wed,nonexistent,0
34,services,married,high.school,adwords,may,thu,nonexistent,0
30,technician,single,university.degree,email,aug,thu,nonexistent,0
38,admin.,married,basic.9y,adwords,jun,mon,nonexistent,0
29,technician,divorced,professional.course,email,may,fri,failure,0
49,entrepreneur,married,university.degree,email,apr,mon,nonexistent,0
48,management,divorced,university.degree,email,aug,fri,nonexistent,0
33,management,married,high.school,email,jul,wed,nonexistent,0
33,admin.,single,university.degree,adwords,apr,wed,nonexistent,0
42,management,married,university.degree,adwords,may,fri,nonexistent,0
39,admin.,married,university.degree,adwords,jun,tue,nonexistent,0
55,entrepreneur,married,university.degree,email,nov,tue,nonexistent,0
46,management,married,university.degree,adwords,may,thu,nonexistent,0
55,blue-collar,divorced,basic.4y,adwords,jun,tue,nonexistent,0
42,entrepreneur,married,university.degree,email,nov,fri,failure,0
24,student,single,high.school,email,may,wed,failure,0
49,blue-collar,married,basic.9y,email,aug,thu,nonexistent,0
38,admin.,married,unknown,email,jul,wed,nonexistent,0
34,admin.,married,university.degree,email,aug,tue,nonexistent,0
46,blue-collar,married,basic.4y,email,jul,fri,nonexistent,0
45,technician,married,professional.course,email,aug,thu,nonexistent,0
40,admin.,married,basic.9y,email,jul,thu,nonexistent,0
46,admin.,divorced,basic.9y,adwords,may,wed,nonexistent,0
31,blue-collar,single,basic.9y,adwords,jun,wed,nonexistent,0
57,self-employed,married,basic.9y,adwords,may,tue,nonexistent,0
36,admin.,married,university.degree,email,may,mon,nonexistent,0
50,technician,married,professional.course,email,nov,tue,failure,0
32,admin.,single,high.school,email,apr,wed,nonexistent,0
38,admin.,single,university.degree,email,jul,mon,nonexistent,0
50,admin.,married,university.degree,email,may,wed,failure,0
42,blue-collar,married,basic.4y,adwords,jun,thu,nonexistent,0
31,technician,married,professional.course,email,aug,wed,nonexistent,0
27,unemployed,single,university.degree,email,jul,tue,nonexistent,0
44,self-employed,divorced,high.school,adwords,jun,mon,nonexistent,0
26,housemaid,single,high.school,adwords,jul,thu,nonexistent,0
30,blue-collar,single,high.school,email,may,thu,nonexistent,0
39,self-employed,single,high.school,email,nov,fri,nonexistent,0
64,retired,married,unknown,email,aug,fri,nonexistent,1
36,management,married,university.degree,email,sep,wed,failure,1
42,blue-collar,married,basic.4y,adwords,may,wed,nonexistent,0
42,services,single,high.school,email,may,thu,nonexistent,0
40,admin.,divorced,high.school,email,jul,wed,nonexistent,0
34,services,married,high.school,email,may,wed,failure,0
31,blue-collar,married,basic.6y,adwords,may,thu,nonexistent,0
49,admin.,single,university.degree,adwords,may,fri,nonexistent,0
35,unemployed,divorced,basic.9y,email,jul,thu,nonexistent,0
60,admin.,married,unknown,adwords,may,mon,nonexistent,0
38,admin.,divorced,basic.9y,email,nov,fri,nonexistent,0
32,management,married,professional.course,email,may,thu,failure,0
50,self-employed,married,basic.9y,email,may,mon,success,1
41,admin.,married,university.degree,email,apr,fri,nonexistent,1
45,admin.,married,high.school,adwords,may,wed,nonexistent,0
46,blue-collar,married,basic.6y,adwords,jun,tue,nonexistent,0
55,unknown,married,basic.4y,adwords,may,mon,nonexistent,0
33,technician,divorced,professional.course,adwords,may,fri,nonexistent,0
45,blue-collar,married,unknown,adwords,may,mon,nonexistent,0
29,blue-collar,married,high.school,email,may,wed,nonexistent,0
42,technician,married,high.school,email,jul,wed,nonexistent,0
39,housemaid,married,university.degree,adwords,may,mon,nonexistent,0
58,blue-collar,married,unknown,email,jul,thu,nonexistent,0
32,management,divorced,university.degree,email,jul,tue,nonexistent,0
44,technician,divorced,professional.course,email,apr,thu,failure,0
49,self-employed,married,professional.course,adwords,may,fri,nonexistent,0
29,blue-collar,married,basic.6y,email,may,thu,nonexistent,0
51,management,married,university.degree,adwords,jun,wed,nonexistent,0
36,admin.,married,university.degree,email,aug,thu,nonexistent,0
23,management,single,university.degree,email,apr,mon,nonexistent,1
31,management,single,university.degree,email,aug,mon,nonexistent,0
32,technician,married,unknown,email,jul,fri,nonexistent,0
58,self-employed,divorced,professional.course,adwords,jun,thu,nonexistent,0
31,services,single,high.school,email,jul,wed,nonexistent,0
32,blue-collar,married,professional.course,email,may,fri,nonexistent,0
43,unemployed,married,high.school,email,aug,thu,success,0
48,admin.,divorced,professional.course,adwords,may,fri,nonexistent,0
28,admin.,single,high.school,email,jul,thu,nonexistent,0
52,services,unknown,professional.course,adwords,jun,fri,nonexistent,0
36,management,married,university.degree,adwords,jun,thu,nonexistent,0
39,admin.,divorced,high.school,email,apr,thu,nonexistent,0
39,blue-collar,married,unknown,adwords,jul,tue,nonexistent,0
50,management,married,university.degree,adwords,oct,thu,failure,0
29,admin.,single,university.degree,email,nov,fri,nonexistent,0
49,technician,divorced,professional.course,email,may,tue,nonexistent,0
36,blue-collar,married,basic.6y,email,nov,wed,nonexistent,0
29,blue-collar,married,basic.9y,email,may,thu,nonexistent,0
27,entrepreneur,single,university.degree,adwords,jun,tue,nonexistent,0
31,blue-collar,married,basic.9y,email,jul,wed,nonexistent,0
43,management,single,high.school,email,nov,fri,nonexistent,0
32,blue-collar,married,unknown,email,nov,thu,nonexistent,0
45,blue-collar,married,high.school,email,aug,wed,nonexistent,0
56,blue-collar,married,basic.4y,adwords,jun,wed,nonexistent,0
38,admin.,married,high.school,adwords,may,wed,nonexistent,0
35,blue-collar,married,basic.9y,adwords,may,thu,nonexistent,0
30,admin.,single,university.degree,email,aug,fri,failure,0
46,management,married,university.degree,email,apr,fri,nonexistent,0
43,blue-collar,married,basic.9y,email,may,thu,failure,0
38,technician,married,university.degree,adwords,may,thu,nonexistent,0
52,retired,married,university.degree,adwords,nov,thu,nonexistent,0
30,technician,unknown,university.degree,email,oct,fri,success,0
31,unemployed,married,high.school,email,nov,tue,failure,0
31,blue-collar,single,basic.4y,email,may,fri,nonexistent,0
24,technician,single,professional.course,email,may,thu,failure,0
34,admin.,single,university.degree,email,jul,tue,nonexistent,0
48,admin.,married,unknown,email,aug,thu,nonexistent,0
30,admin.,married,university.degree,email,aug,thu,nonexistent,0
